,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,lot1_numero,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
2218336,2020-943974,2020-11-27,1,Vente,322640.0,6.0,DOM DE VILLEJUST,A100,91140.0,91666,Villejust,91,91666000AB0182,1.0,1,1.0,Maison,92.0,4.0,S,sols,199.0,2.239537,48.683198
1776654,2020-749604,2020-06-10,1,Vente,158950.0,118.0,AV RENE COTY,6863,76600.0,76351,Le Havre,76,76351000JJ0040,35.0,1,2.0,Appartement,70.0,3.0,S,sols,5.0,0.116386,49.497985
2329317,2020-1001748,2020-09-02,1,Vente,360000.0,2.0,AV DU VAL ROGER,0710,94420.0,94059,Le Plessis-Trévise,94,94059000AB0129,2.0,1,1.0,Maison,75.0,4.0,S,sols,200.0,2.558503,48.821576
1088464,2020-456974,2020-07-07,1,Vente,290000.0,11.0,RUE DE LA MARNE,0605,45160.0,45232,Olivet,45,45232000BK0281,11.0,1,1.0,Maison,179.0,7.0,AG,terrains d'agrément,2310.0,1.904713,47.840221
974487,2020-406174,2020-07-03,1,Vente,254000.0,15.0,ALL CLOS DES CHARMES,0635,42160.0,42005,Andrézieux-Bouthéon,42,42005000AT0341,16.0,1,1.0,Maison,95.0,5.0,S,sols,410.0,4.272281,45.541628
758585,2020-313901,2020-12-15,1,Vente,350000.0,9.0,IMP DES AUBEPINES,0009,34540.0,34023,Balaruc-les-Bains,34,34023000AP0331,83.0,1,1.0,Maison,71.0,4.0,S,sols,585.0,3.699989,43.447286
927233,2020-387682,2020-01-31,1,Vente,137000.0,63.0,RUE DU MAL DE LATTRE TASSIGNY,0125,41150.0,41045,Chaumont-sur-Loire,41,41045000AE0209,2,1,1.0,Maison,34.0,2.0,S,sols,86.0,1.184078,47.480156
1783672,2020-753158,2020-06-25,1,Vente,29000.0,5483.0,RTE DE GONFREVILLE CAILLOT,0260,76110.0,76141,Bréauté,76,761410000A0032,7.0,1,1.0,Maison,10.0,1.0,J,jardins,289.0,0.40565,49.634147
1689704,2020-711294,2020-07-28,1,Vente,75000.0,19.0,RUE LAVOISIER,0760,71450.0,71040,Blanzy,71,71040000AB0404,103.0,1,1.0,Maison,89.0,5.0,S,sols,548.0,4.386662,46.706257
1901606,2020-807589,2020-09-14,1,Vente,255000.0,3.0,RUE DES COTELETTES,0630,78930.0,78291,Guerville,78,78291000AD0363,2.0,1,1.0,Maison,81.0,5.0,T,terres,1235.0,1.754897,48.950342
1875857,2020-794592,2020-06-10,1,Vente,646050.0,5.0,RUE DE LA CROIX BLANCHE,0030,78870.0,78043,Bailly,78,78043000AA0129,5.0,1,1.0,Maison,140.0,6.0,S,sols,310.0,2.074707,48.843006
